"features.plot","id","pct.exp","avg.exp","avg.exp.scaled"
"FOXP3","Tumor_T5",1.20481927710843,0.0370017841313944,-0.313588571227012
"IL2RA","Tumor_T5",5.62248995983936,0.212489266078921,-0.153643746183717
"NKG7","Tumor_T5",68.6746987951807,6.15161060933636,-0.319260606107047
"GNLY","Tumor_T5",9.23694779116466,0.895334408507691,-0.88767736792346
"TCF7","Tumor_T6",15.8730158730159,0.0839985911070925,-1.55388327261223
"SLAMF6","Tumor_T6",3.17460317460317,0.0318209188715269,-1.30411931807551
"IL7R","Tumor_T6",51.5873015873016,1.05903819757735,-1.16254956399826
"SELL","Tumor_T6",11.9047619047619,0.0590545784452756,-1.24342740507863
"CCR7","Tumor_T6",10.3174603174603,0.0699450907360608,-1.15501839291767
"PDCD1","Tumor_T6",7.14285714285714,0.0494471297251969,-1.34259166466215
"TOX","Tumor_T6",3.17460317460317,0.0271482301636487,-1.56619897050926
"HAVCR2","Tumor_T6",11.9047619047619,0.147046156000278,-1.02971204321068
"LAG3","Tumor_T6",11.1111111111111,0.0462814475446081,-1.76724500270966
"TIGIT","Tumor_T6",11.9047619047619,0.255467966920311,-1.1370541873852
"GZMB","Tumor_T6",22.2222222222222,0.288131075292735,-1.53707952274217
"PRF1","Tumor_T6",22.2222222222222,0.209720130209919,-1.44495175235231
"IFNG","Tumor_T6",21.4285714285714,0.293498029502292,-1.3110062653741
"FOXP3","Tumor_T6",1.58730158730159,0.00819469508484799,-0.465502584961964
"IL2RA","Tumor_T6",4.76190476190476,0.115878140210633,-0.412405762437681
"NKG7","Tumor_T6",54.7619047619048,1.42963585859387,-1.55258260034555
"GNLY","Tumor_T6",22.2222222222222,0.257837376484575,-1.35087020282774
"TCF7","Tumor_T7",16.0377358490566,0.107011561545043,-1.440153270093
"SLAMF6","Tumor_T7",1.88679245283019,0.011456338103864,-1.49100472904357
"IL7R","Tumor_T7",20.7547169811321,0.30666384103854,-1.79298523528613
"SELL","Tumor_T7",6.60377358490566,0.0499163285802025,-1.28569204444439
"CCR7","Tumor_T7",3.77358490566038,0.0457130306106873,-1.21720372341054
"PDCD1","Tumor_T7",0.943396226415094,0.0032170374302305,-1.61897276791715
"TOX","Tumor_T7",2.83018867924528,0.0276957789626643,-1.56296594425758
"HAVCR2","Tumor_T7",6.60377358490566,0.0618438561743361,-1.3510848239395
"LAG3","Tumor_T7",14.1509433962264,0.157226048989844,-1.33893303800638
"TIGIT","Tumor_T7",16.0377358490566,0.194111825733895,-1.25653220970634
"GZMB","Tumor_T7",23.5849056603774,0.921032494162536,-0.96274420929966
"PRF1","Tumor_T7",22.6415094339623,0.319428133413387,-1.30816928909237
"IFNG","Tumor_T7",13.2075471698113,0.519816162775237,-1.02321477172984
"FOXP3","Tumor_T7",3.77358490566038,0.0183959640653392,-0.411215489354877
"IL2RA","Tumor_T7",5.66037735849057,0.0903151565822973,-0.484626661103713
"NKG7","Tumor_T7",36.7924528301887,1.27768187499799,-1.62636191538303
"GNLY","Tumor_T7",24.5283018867925,1.09406098621343,-0.775031581025354
"TCF7","NK",14.7058823529412,0.649062378900343,0.71747056436349
"SLAMF6","NK",2.94117647058824,0.127022437615978,-0.476715827707267
"IL7R","NK",61.7647058823529,8.84512600044352,1.00664408033008
"SELL","NK",9.80392156862745,0.533347371482558,0.561432930535429
"CCR7","NK",14.7058823529412,1.07354046571712,0.641048672857065
"PDCD1","NK",8.82352941176471,0.536994245983006,0.998222015376695
"TOX","NK",4.90196078431373,0.271745013083081,-0.270380743341422
"HAVCR2","NK",14.7058823529412,0.634734120079053,0.445469109662744
"LAG3","NK",14.7058823529412,0.928221699060296,0.830910876240035
"TIGIT","NK",24.5098039215686,1.32743543997641,0.334810509478081
"GZMB","NK",31.3725490196078,3.1833031992611,0.155601732328508
"PRF1","NK",31.3725490196078,1.669063208399,-0.198067626164648
"IFNG","NK",17.6470588235294,1.10160096277533,-0.444719460379375
"FOXP3","NK",0.980392156862745,0.0521762723184005,-0.235254443720286
"IL2RA","NK",3.92156862745098,0.190242218992625,-0.211354269975354
"NKG7","NK",68.6274509803922,13.19236178004,0.463696360011554
"GNLY","NK",34.3137254901961,7.47350642095168,0.804155870020274
"TCF7","NK_dim",5.55555555555556,0.0415610144704471,-1.77008830143538
"SLAMF6","NK_dim",0,0,-1.59780018019689
"IL7R","NK_dim",19.4444444444444,0.549138057685174,-1.55700741212055
"SELL","NK_dim",8.33333333333333,0.102936268856973,-1.04542468511062
"CCR7","NK_dim",2.77777777777778,0.0249284553331937,-1.27170101710631
"PDCD1","NK_dim",2.77777777777778,0.0221955875172016,-1.50400124911028
"TOX","NK_dim",2.77777777777778,0.0239939343334005,-1.58485727819057
"HAVCR2","NK_dim",5.55555555555556,0.057580477756999,-1.36783629267813
"LAG3","NK_dim",5.55555555555556,0.0466224928359474,-1.76585995752
"TIGIT","NK_dim",8.33333333333333,0.107866100091861,-1.4352922670674
"GZMB","NK_dim",16.6666666666667,0.657761087191999,-1.1745539030458
"PRF1","NK_dim",8.33333333333333,0.094690390139707,-1.60238816332346
"IFNG","NK_dim",8.33333333333333,0.17139634667574,-1.48798305168711
"FOXP3","NK_dim",0,0,-0.50951084220012
"IL2RA","NK_dim",2.77777777777778,0.0235106032820802,-0.681667841557273
"NKG7","NK_dim",50,1.49542567367398,-1.52206025058748
"GNLY","NK_dim",25,0.295011851170625,-1.31796558515035
